Class,LCOM,DIT,IFANIN,CBO,NOC,RFC,NIM,NIV,WMC,bug
OpenMM::ReferenceCalcAmoebaAngleForceKernel,51,2,1,8,0,15,5,12,5,0
OpenMM::ReferenceCalcAmoebaBondForceKernel,51,2,1,8,0,15,5,9,5,0
OpenMM::ReferenceCalcAmoebaGeneralizedKirkwoodForceKernel,88,2,1,7,0,29,19,12,19,0
OpenMM::ReferenceCalcAmoebaInPlaneAngleForceKernel,50,2,1,8,0,15,5,13,5,0
OpenMM::ReferenceCalcAmoebaMultipoleForceKernel,64,2,1,18,0,31,15,22,15,0
OpenMM::ReferenceCalcAmoebaOutOfPlaneBendForceKernel,51,2,1,8,0,15,5,12,5,0
OpenMM::ReferenceCalcAmoebaPiTorsionForceKernel,46,2,1,8,0,15,5,10,5,0
OpenMM::ReferenceCalcAmoebaStretchBendForceKernel,45,2,1,8,0,15,5,11,5,0
OpenMM::ReferenceCalcAmoebaTorsionTorsionForceKernel,54,2,1,9,0,13,4,12,4,0
OpenMM::ReferenceCalcAmoebaVdwForceKernel,47,2,1,10,0,15,5,14,5,0
OpenMM::ReferenceCalcAmoebaWcaDispersionForceKernel,55,2,1,8,0,15,5,13,5,0
OpenMM::ReferenceCalcCMAPTorsionForceKernel,31,2,1,10,0,14,4,4,4,0
OpenMM::ReferenceCalcCustomAngleForceKernel,43,2,1,13,0,15,5,10,5,0
OpenMM::ReferenceCalcCustomBondForceKernel,43,2,1,13,0,15,5,10,5,0
OpenMM::ReferenceCalcCustomCentroidBondForceKernel,48,2,1,13,0,15,5,7,5,0
OpenMM::ReferenceCalcCustomCompoundBondForceKernel,40,2,1,13,0,15,5,6,5,0
OpenMM::ReferenceCalcCustomExternalForceKernel,42,2,1,14,0,15,5,10,5,0
OpenMM::ReferenceCalcCustomExternalForceKernel::PeriodicDistanceFunction,19,1,1,2,0,10,5,1,5,0
OpenMM::ReferenceCalcCustomGBForceKernel,57,2,1,13,0,15,5,21,5,0
OpenMM::ReferenceCalcCustomHbondForceKernel,46,2,1,13,0,15,5,10,5,0
OpenMM::ReferenceCalcCustomManyParticleForceKernel,43,2,1,10,0,15,5,6,5,0
OpenMM::ReferenceCalcCustomNonbondedForceKernel,50,2,1,15,0,15,5,21,5,0
OpenMM::ReferenceCalcCustomTorsionForceKernel,43,2,1,13,0,15,5,10,5,0
OpenMM::ReferenceCalcDrudeForceKernel,25,2,1,8,0,14,4,12,4,0
OpenMM::ReferenceCalcForcesAndEnergyKernel,50,2,1,7,0,14,4,1,4,0
OpenMM::ReferenceCalcGayBerneForceKernel,0,2,1,7,0,15,5,1,5,0
OpenMM::ReferenceCalcGBSAOBCForceKernel,40,2,1,10,0,15,5,3,5,0
OpenMM::ReferenceCalcHarmonicAngleForceKernel,30,2,1,9,0,15,5,4,5,0
OpenMM::ReferenceCalcHarmonicBondForceKernel,30,2,1,9,0,15,5,4,5,0
OpenMM::ReferenceCalcNonbondedForceKernel,51,2,1,12,0,17,6,16,6,0
OpenMM::ReferenceCalcPeriodicTorsionForceKernel,30,2,1,9,0,15,5,4,5,0
OpenMM::ReferenceCalcRBTorsionForceKernel,30,2,1,9,0,15,5,4,5,0
OpenMM::ReferenceCCMAAlgorithm,79,1,1,6,0,15,12,11,12,0
OpenMM::ReferenceCCMAAlgorithm::AngleInfo,0,0,0,0,0,1,1,4,1,0
OpenMM::ReferenceCMAPTorsionIxn,71,1,1,4,0,16,9,5,9,0
OpenMM::ReferenceConstraintAlgorithm,0,0,0,1,5,3,3,0,3,0
OpenMM::ReferenceConstraints,33,1,1,7,0,9,6,2,6,0
OpenMM::ReferenceContinuous1DFunction,38,1,1,3,0,11,6,6,6,0
OpenMM::ReferenceContinuous2DFunction,42,1,1,4,0,11,6,11,6,0
OpenMM::ReferenceContinuous3DFunction,42,1,1,4,0,11,6,15,6,0
OpenMM::ReferenceCustomAngleIxn,62,1,1,8,0,13,6,9,6,0
OpenMM::ReferenceCustomBondIxn,62,1,1,7,0,13,6,9,6,0
OpenMM::ReferenceCustomCentroidBondIxn,80,1,1,9,0,19,11,14,12,0
OpenMM::ReferenceCustomCentroidBondIxn::AngleTermInfo,37,0,0,2,0,1,1,8,1,0
OpenMM::ReferenceCustomCentroidBondIxn::DihedralTermInfo,50,0,0,2,0,1,1,12,1,0
OpenMM::ReferenceCustomCentroidBondIxn::DistanceTermInfo,33,0,0,2,0,1,1,6,1,0
OpenMM::ReferenceCustomCentroidBondIxn::PositionTermInfo,19,0,0,1,0,1,1,5,1,0
OpenMM::ReferenceCustomCompoundBondIxn,79,1,1,9,0,19,11,12,12,0
OpenMM::ReferenceCustomCompoundBondIxn::AngleTermInfo,37,0,0,2,0,1,1,8,1,0
OpenMM::ReferenceCustomCompoundBondIxn::DihedralTermInfo,50,0,0,2,0,1,1,12,1,0
OpenMM::ReferenceCustomCompoundBondIxn::DistanceTermInfo,33,0,0,2,0,1,1,6,1,0
OpenMM::ReferenceCustomCompoundBondIxn::ParticleTermInfo,19,0,0,1,0,1,1,5,1,0
OpenMM::ReferenceCustomDynamics,79,1,1,19,0,24,12,30,12,0
OpenMM::ReferenceCustomDynamics::DerivFunction,40,1,1,1,0,10,5,2,5,0
OpenMM::ReferenceCustomExternalIxn,60,0,0,5,0,5,5,21,5,0
OpenMM::ReferenceCustomGBIxn,80,0,0,7,0,23,23,27,23,0
OpenMM::ReferenceCustomHbondIxn,80,1,1,8,0,21,13,12,14,0
OpenMM::ReferenceCustomHbondIxn::AngleTermInfo,28,0,0,2,0,1,1,7,1,0
OpenMM::ReferenceCustomHbondIxn::DihedralTermInfo,45,0,0,2,0,1,1,11,1,0
OpenMM::ReferenceCustomHbondIxn::DistanceTermInfo,19,0,0,2,0,1,1,5,1,0
OpenMM::ReferenceCustomManyParticleIxn,81,0,0,12,0,13,12,18,13,0
OpenMM::ReferenceCustomManyParticleIxn::AngleTermInfo,28,0,0,2,0,1,1,7,1,0
OpenMM::ReferenceCustomManyParticleIxn::DihedralTermInfo,45,0,0,2,0,1,1,11,1,0
OpenMM::ReferenceCustomManyParticleIxn::DistanceTermInfo,19,0,0,2,0,1,1,5,1,0
OpenMM::ReferenceCustomManyParticleIxn::ParticleTermInfo,0,0,0,1,0,1,1,4,1,0
OpenMM::ReferenceCustomNonbondedIxn,78,0,0,8,0,12,12,15,12,0
OpenMM::ReferenceCustomTorsionIxn,62,1,1,7,0,13,6,9,6,0
OpenMM::ReferenceDiscrete1DFunction,60,1,1,3,0,10,5,2,5,0
OpenMM::ReferenceDiscrete2DFunction,60,1,1,3,0,10,5,4,5,0
OpenMM::ReferenceDiscrete3DFunction,60,1,1,3,0,10,5,5,5,0
OpenMM::ReferenceDrudeKernelFactory,0,1,1,11,0,3,1,0,1,0
OpenMM::ReferenceDynamics,76,0,0,4,6,12,12,6,12,0
OpenMM::ReferenceForce,78,0,0,2,1,10,2,0,10,0
OpenMM::ReferenceGayBerneForce,69,0,0,7,0,9,9,11,9,0
OpenMM::ReferenceHarmonicBondIxn,40,1,1,4,0,12,5,2,5,0
OpenMM::ReferenceIntegrateBrownianStepKernel,63,2,1,12,0,15,5,6,5,0
OpenMM::ReferenceIntegrateCustomStepKernel,70,2,1,13,0,27,13,5,13,0
OpenMM::ReferenceIntegrateDrudeLangevinStepKernel,57,2,1,14,0,15,5,7,5,0
OpenMM::ReferenceIntegrateDrudeSCFStepKernel,61,2,1,15,0,16,6,6,6,0
OpenMM::ReferenceIntegrateLangevinStepKernel,63,2,1,12,0,15,5,6,5,0
OpenMM::ReferenceIntegrateRPMDStepKernel,68,2,1,14,0,24,11,9,11,0
OpenMM::ReferenceIntegrateVariableLangevinStepKernel,63,2,1,12,0,15,5,6,5,0
OpenMM::ReferenceIntegrateVariableVerletStepKernel,55,2,1,11,0,15,5,4,5,0
OpenMM::ReferenceIntegrateVerletStepKernel,55,2,1,11,0,15,5,4,5,0
OpenMM::ReferenceKernelFactory,0,1,1,67,0,3,1,0,1,0
OpenMM::ReferenceLincsAlgorithm,72,1,1,3,0,15,12,12,12,0
OpenMM::ReferenceLJCoulomb14,0,1,1,3,0,11,4,0,4,0
OpenMM::ReferenceLJCoulombIxn,78,0,0,7,0,13,13,16,13,0
OpenMM::ReferenceMonteCarloBarostat,64,0,0,3,0,7,7,2,7,0
OpenMM::ReferenceObc,74,0,0,4,0,13,13,3,13,0
OpenMM::ReferencePairIxn,0,0,0,1,0,3,3,0,3,0
OpenMM::ReferencePlatform,0,1,1,37,1,45,6,0,6,0
OpenMM::ReferencePlatform::PlatformData,15,0,0,3,0,2,2,10,2,0
OpenMM::ReferenceProperDihedralBond,40,1,1,4,0,12,5,2,5,0
OpenMM::ReferenceRbDihedralBond,40,1,1,4,0,12,5,2,5,0
OpenMM::ReferenceRemoveCMMotionKernel,33,2,1,7,0,12,3,3,3,0
OpenMM::ReferenceRpmdKernelFactory,0,1,1,6,0,3,1,0,1,0
OpenMM::ReferenceSETTLEAlgorithm,54,1,1,3,0,11,8,6,8,0
OpenMM::ReferenceStochasticDynamics,81,1,1,6,1,23,11,3,11,0
OpenMM::ReferenceUpdateStateDataKernel,68,2,1,11,0,36,16,1,16,0
OpenMM::ReferenceVariableStochasticDynamics,79,1,1,6,0,23,11,4,11,0
OpenMM::ReferenceVariableVerletDynamics,61,1,1,5,0,18,6,3,6,0
OpenMM::ReferenceVerletDynamics,50,1,1,5,0,16,4,2,4,0
OpenMM::ReferenceVirtualSites,0,0,0,9,0,4,2,0,4,0
OpenMM::ReferenceVirtualSitesKernel,0,2,1,5,0,12,3,0,3,0
OpenMM::RemoveCMMotionKernel,0,1,1,4,3,9,3,0,4,0
OpenMM::RPMDIntegrator,82,1,1,14,0,36,24,11,24,0
OpenMM::RPMDMonteCarloBarostat,73,1,1,2,0,19,9,3,10,0
OpenMM::RPMDMonteCarloBarostatImpl,68,2,1,16,0,17,8,8,8,0
OpenMM::RPMDUpdater,0,1,1,1,1,9,1,0,1,0
OpenMM::SerializationNode,81,0,0,5,0,37,37,3,37,0
OpenMM::SerializationProxy,85,0,0,4,51,14,9,1,14,0
OpenMM::SimTKOpenMMUtilities,68,0,0,2,0,14,2,0,14,0
OpenMM::SplineFitter,0,0,0,2,0,22,11,0,22,0
OpenMM::State,77,0,0,4,0,20,20,10,20,0
OpenMM::State::StateBuilder,0,0,0,4,0,9,9,1,9,0
OpenMM::StateProxy,0,1,1,8,0,17,3,0,3,0
OpenMM::System,79,0,0,6,0,22,22,5,22,0
OpenMM::System::ConstraintInfo,0,0,0,0,0,2,2,3,2,0
OpenMM::SystemProxy,0,1,1,10,0,17,3,0,3,0
OpenMM::TabulatedFunction,0,0,0,0,6,2,2,0,2,0
OpenMM::ThreadPool,55,0,0,1,0,7,7,8,7,0
OpenMM::ThreadPool::Task,0,0,0,1,19,1,1,0,1,0
OpenMM::ThreadPool::ThreadData,25,0,0,2,0,1,1,4,1,0
OpenMM::ThreeParticleAverageSite,0,1,1,1,0,8,2,3,2,0
OpenMM::TwoParticleAverageSite,0,1,1,1,0,8,2,2,2,0
OpenMM::UpdateStateDataKernel,0,1,1,6,3,20,14,0,15,0
OpenMM::VariableLangevinIntegrator,81,1,1,7,0,27,15,5,15,0
OpenMM::VariableLangevinIntegratorProxy,0,1,1,4,0,17,3,0,3,0
OpenMM::VariableVerletIntegrator,50,1,1,7,0,21,9,2,9,0
OpenMM::VariableVerletIntegratorProxy,0,1,1,4,0,17,3,0,3,0
OpenMM::Vec3,38,0,0,0,0,18,18,1,18,0
OpenMM::VerletIntegrator,16,1,1,6,0,18,6,1,6,0
OpenMM::VerletIntegratorProxy,0,1,1,4,0,17,3,0,3,0
OpenMM::VirtualSite,50,0,0,1,4,6,6,1,6,0
OpenMM::VirtualSitesKernel,0,1,1,3,3,9,3,0,4,0
OpenMM::VoxelHash,36,0,0,5,0,4,4,9,4,0
OpenMM::VoxelIndex,0,0,0,0,0,2,2,2,2,0
OpenMM::VoxelIndex,0,0,0,0,0,2,2,3,2,0
OpenMM::XmlSerializer,0,0,0,8,0,6,0,0,6,0
OpenMM::XmlSerializer::StreamReader,33,1,1,2,0,6,3,2,3,0
OpenMM_SFMT::SFMTData,14,0,0,1,0,1,1,7,1,0
JAMA::Cholesky,33,0,0,2,0,6,6,2,6,0
JAMA::Eigenvalue,62,0,0,2,0,10,10,9,10,0
JAMA::LU,50,0,0,2,0,10,10,5,10,0
JAMA::QR,17,0,0,2,0,7,7,4,7,0
JAMA::SVD,52,0,0,2,0,8,8,5,8,0
fvec4,3,0,0,1,0,26,26,1,26,0
fvec4,7,0,0,0,0,26,26,1,26,0
fvec4,3,0,0,1,0,26,26,1,26,0
fvec8,3,0,0,1,0,27,27,1,27,0
SFMT,0,0,0,4,0,4,4,1,4,0
SortTrait,0,1,1,0,0,17,8,0,8,0
SortTrait,0,1,1,0,0,17,8,0,8,0
Lepton::CompiledExpression,78,0,0,5,0,15,15,11,15,0
Lepton::CustomFunction,0,0,0,0,18,5,5,0,5,0
Lepton::Exception,33,1,1,0,0,4,3,1,3,0
Lepton::ExpressionProgram,54,0,0,5,0,11,11,3,11,0
Lepton::ExpressionTreeNode,38,0,0,3,0,13,13,2,13,0
Lepton::Operation,0,0,0,5,40,11,11,0,11,0
Lepton::Operation::Abs,0,1,1,6,0,18,7,0,7,0
Lepton::Operation::Acos,0,1,1,9,0,18,7,0,7,0
Lepton::Operation::Add,0,1,1,2,0,20,9,0,9,0
Lepton::Operation::AddConstant,33,1,1,2,0,20,9,1,9,0
Lepton::Operation::Asin,0,1,1,8,0,18,7,0,7,0
Lepton::Operation::Atan,0,1,1,6,0,18,7,0,7,0
Lepton::Operation::Ceil,0,1,1,3,0,18,7,0,7,0
Lepton::Operation::Constant,33,1,1,2,0,20,9,1,9,0
Lepton::Operation::Cos,0,1,1,5,0,18,7,0,7,0
Lepton::Operation::Cosh,0,1,1,4,0,18,7,0,7,0
Lepton::Operation::Cot,0,1,1,6,0,18,7,0,7,0
Lepton::Operation::Csc,0,1,1,5,0,18,7,0,7,0
Lepton::Operation::Cube,0,1,1,5,0,18,7,0,7,0
Lepton::Operation::Custom,47,1,1,6,0,22,11,4,11,0
Lepton::Operation::Delta,0,1,1,3,0,18,7,0,7,0
Lepton::Operation::Divide,0,1,1,5,0,19,8,0,8,0
Lepton::Operation::Erf,0,1,1,7,0,19,8,0,8,0
Lepton::Operation::Erfc,0,1,1,7,0,19,8,0,8,0
Lepton::Operation::Exp,0,1,1,3,0,18,7,0,7,0
Lepton::Operation::Floor,0,1,1,3,0,18,7,0,7,0
Lepton::Operation::Log,0,1,1,4,0,18,7,0,7,0
Lepton::Operation::Max,0,1,1,6,0,18,7,0,7,0
Lepton::Operation::Min,0,1,1,6,0,18,7,0,7,0
Lepton::Operation::Multiply,0,1,1,3,0,20,9,0,9,0
Lepton::Operation::MultiplyConstant,22,1,1,2,0,20,9,1,9,0
Lepton::Operation::Negate,0,1,1,2,0,18,7,0,7,0
Lepton::Operation::Power,0,1,1,6,0,19,8,0,8,0
Lepton::Operation::PowerConstant,63,1,1,4,0,21,10,3,10,0
Lepton::Operation::Reciprocal,0,1,1,5,0,18,7,0,7,0
Lepton::Operation::Sec,0,1,1,4,0,18,7,0,7,0
Lepton::Operation::Select,0,1,1,2,0,18,7,0,7,0
Lepton::Operation::Sin,0,1,1,4,0,18,7,0,7,0
Lepton::Operation::Sinh,0,1,1,4,0,18,7,0,7,0
Lepton::Operation::Sqrt,0,1,1,5,0,18,7,0,7,0
Lepton::Operation::Square,0,1,1,4,0,18,7,0,7,0
Lepton::Operation::Step,0,1,1,3,0,18,7,0,7,0
Lepton::Operation::Subtract,0,1,1,2,0,19,8,0,8,0
Lepton::Operation::Tan,0,1,1,5,0,18,7,0,7,0
Lepton::Operation::Tanh,0,1,1,6,0,18,7,0,7,0
Lepton::Operation::Variable,25,1,1,5,0,19,8,1,8,0
Lepton::ParsedExpression,88,0,0,22,0,26,19,1,26,0
Lepton::Parser,0,0,0,46,0,15,7,0,15,0
Lepton::ParseToken,33,0,0,0,0,3,3,2,3,0
t_complex,0,0,0,0,0,8,8,2,8,0
TNT::Array1D,49,0,0,2,0,23,23,3,23,0
TNT::Array2D,51,0,0,1,0,24,24,4,24,0
TNT::Array3D,44,0,0,2,0,20,20,5,20,0
TNT::Fortran_Array1D,44,0,0,2,0,20,20,3,20,0
TNT::Fortran_Array2D,46,0,0,1,0,19,19,4,19,0
TNT::Fortran_Array3D,37,0,0,1,0,17,17,5,17,0
TNT::i_refvec,33,0,0,1,0,15,15,2,15,0
TNT::Matrix,71,0,0,0,0,26,26,7,26,0
TNT::Sparse_Matrix_CompRow,75,0,0,1,0,9,9,5,9,0
TNT::Stopwatch,27,0,0,0,0,6,6,3,6,0
TNT::Vector,40,0,0,0,0,24,24,3,24,0
